도시,구,동,위도,경도
대구광역시,달서구,용산동,35.86154,128.524663
대구광역시,달서구,유천동,35.81208333,128.51115
대구광역시,달서구,유천동,35.81201667,128.5111833
대구광역시,달서구,월성동,35.83070556,128.5271139
대구광역시,달서구,송현동,35.82896389,128.5456139
대구광역시,달서구,상인3동,35.80693611,128.5499472
대구광역시,달서구,진천동,35.81148333,128.5283361
대구광역시,달서구,진천동,35.81554444,128.5285028
대구광역시,달서구,월성동,35.82693889,128.5313361
대구광역시,달서구,송현1동,35.82555833,128.5527444
대구광역시,달서구,송현동,35.82259167,128.5522
대구광역시,달서구,본동,35.83451111,128.5338583
대구광역시,달서구,본동,35.835175,128.5466111
대구광역시,달서구,도원동,35.80786111,128.5316694
대구광역시,달서구,도원동,35.8041,128.535625
대구광역시,달서구,송현동,35.82084722,128.5503028
대구광역시,달서구,도원동,35.80568333,128.5425361
대구광역시,달서구,월성동,35.82013889,128.5233139
대구광역시,달서구,월성동,35.83131111,128.5311139
대구광역시,달서구,월성동,35.82892222,128.5221472
대구광역시,달서구,월성동,35.8291094,128.521751
대구광역시,달서구,상인동,35.81599444,128.5428806
대구광역시,달서구,송현동,35.82473333,128.5440694
대구광역시,달서구,송현동,35.8275194,128.5440866
대구광역시,달서구,성당동,35.84424722,128.5523333
대구광역시,달서구,성당동,35.84519444,128.5512889
대구광역시,달서구,성당동,35.84370833,128.5508
대구광역시,달서구,신당동,35.85356389,128.4969278
대구광역시,달서구,신당동,35.85819722,128.4956833
대구광역시,달서구,신당동,35.85914444,128.49415
대구광역시,달서구,신당동,35.85821389,128.4959056
대구광역시,달서구,신당동,35.857525,128.4963056
대구광역시,달서구,신당동,35.85664444,128.4958278
대구광역시,달서구,성당동,35.84826111,128.5458
대구광역시,달서구,본리동,35.84344722,128.5394694
대구광역시,달서구,본리동,35.83977778,128.5467778
대구광역시,달서구,이곡동,35.85101389,128.5137028
대구광역시,달서구,용산동,35.85246944,128.5178806
대구광역시,달서구,이곡동,35.85734167,128.5022611
대구광역시,달서구,용산동,35.86086389,128.5306028
대구광역시,달서구,이곡동,35.857125,128.512825
대구광역시,달서구,장기동,35.84394444,128.5283917
대구광역시,달서구,장기동,35.84508056,128.532425
대구광역시,달서구,용산동,35.854125,128.5264694
대구광역시,달서구,장기동,35.84988889,128.5237472
대구광역시,달서구,호산동,35.84861389,128.4780833
대구광역시,달서구,감삼동,35.84957778,128.5448778
대구광역시,달서구,상인동,35.813925,128.5492694
대구광역시,달서구,상인동,35.81523611,128.5365583
대구광역시,달서구,송현1동,35.82828611,128.5535111
대구광역시,달서구,송현1동,35.82584167,128.5494361
대구광역시,달서구,진천동,35.81023056,128.5201056
대구광역시,달서구,진천동,35.81305,128.5229139
대구광역시,달서구,본동,35.83545833,128.5320472
대구광역시,달서구,진천동,35.80818,128.52189
대구광역시,달서구,두류동,35.857975,128.5626222
대구광역시,달서구,두류동,35.85681944,128.5611444
대구광역시,달서구,두류동,35.85274722,128.5535667
대구광역시,달서구,성당동,35.84698333,128.5460667
대구광역시,달서구,두류동,35.85804167,128.5650889
대구광역시,달서구,성당동,35.84005,128.5487556
대구광역시,달서구,두류동,35.85533333,128.5683333
대구광역시,달서구,호산동,35.85078056,128.4868167
대구광역시,달서구,성당동,35.8416,128.5535556
대구광역시,달서구,상인동,35.81485833,128.5384472
대구광역시,달서구,송현동,35.83021389,128.5589
대구광역시,달서구,도원동,35.80675833,128.5419472
대구광역시,달서구,상인1동,35.8182802,128.5438517
대구광역시,달서구,상인1동,35.8210489,128.5468337
대구광역시,달서구,상인1동,35.81774167,128.546125
대구광역시,달서구,송현1동,35.82931667,128.5543556
대구광역시,달서구,송현동,35.830775,128.5472917
대구광역시,달서구,송현동,35.82666389,128.5562222
대구광역시,달서구,대곡동,35.8075,128.5093389
대구광역시,달서구,감삼동,35.84548333,128.5434778
대구광역시,달서구,신당동,35.858375,128.4991833
대구광역시,달서구,신당동,35.85405278,128.4940167
대구광역시,달서구,두류동,35.85636389,128.5560583
대구광역시,달서구,성당동,35.84296944,128.5547889
대구광역시,달서구,성당동,35.83928333,128.5494333
대구광역시,달서구,용산동,35.85994444,128.5236917
대구광역시,달서구,용산동,35.85664722,128.5224111
대구광역시,달서구,죽전동,35.85234722,128.5391694
대구광역시,달서구,신당동,35.85245833,128.4941944
대구광역시,달서구,신당동,35.85474444,128.4937389
대구광역시,달서구,성당동,35.84599722,128.5461583
대구광역시,달서구,두류동,35.85700556,128.5599306
대구광역시,달서구,상인1동,35.81761111,128.5448917
대구광역시,달서구,송현1동,35.82895,128.5569833
대구광역시,달서구,진천동,35.81080278,128.5180833
대구광역시,달서구,월성2동,35.83251111,128.5335472
대구광역시,달서구,도원동,35.79871667,128.5480694
대구광역시,달서구,송현동,35.82681944,128.5464694
대구광역시,달서구,송현동,35.83308056,128.5520556
대구광역시,달서구,감삼동,35.84872222,128.5398333
대구광역시,달서구,신당동,35.85644167,128.49655
대구광역시,달서구,성당동,35.84173056,128.5515889
대구광역시,달서구,용산동,35.85934167,128.5222694
대구광역시,달서구,용산동,35.85718889,128.5223694
대구광역시,달서구,진천동,35.81297222,128.5229139
대구광역시,달서구,월성2동,35.82801944,128.5290083
대구광역시,달서구,상인동,35.81044722,128.5481139
대구광역시,달서구,상인2동,35.8124,128.536625
대구광역시,달서구,상인동,35.81490556,128.5334333
대구광역시,달서구,상인3동,35.80865556,128.5504917
대구광역시,달서구,도원동,35.80638611,128.5499472
대구광역시,달서구,상인2동,35.8111568,128.5438142
대구광역시,달서구,송현1동,35.82633611,128.5535
대구광역시,달서구,송현동,35.82955,128.5523222
대구광역시,달서구,송현1동,35.831675,128.5539556
