주소,동,위도,경도
대구광역시 달서구송현동 1958,송현동 1958,35.82259167,128.5522
대구광역시 달서구본동 938,본동 938,35.83451111,128.5338583
대구광역시 달서구본동 247,본동 247,35.835175,128.5466111
대구광역시 달서구도원동 1428-3,도원동 1428-3,35.80786111,128.5316694
대구광역시 달서구도원동 1458,도원동 1458,35.8041,128.535625
대구광역시 달서구송현동 1950-21,송현동 1950-21,35.82084722,128.5503028
대구광역시 달서구도원동 1455,도원동 1455,35.80568333,128.5425361
대구광역시 달서구월성동 1351,월성동 1351,35.82013889,128.5233139
대구광역시 달서구월성동 273-4,월성동 273-4,35.83131111,128.5311139
대구광역시 달서구월성동 1835,월성동 1835,35.82892222,128.5221472
대구광역시 달서구월성동 960-1,월성동 960-1,35.8291094,128.521751
대구광역시 달서구상인동 1519,상인동 1519,35.81599444,128.5428806
대구광역시 달서구송현동1912-26,송현동1912-26,35.82473333,128.5440694
대구광역시 달서구송현동 1909-9,송현동 1909-9,35.8275194,128.5440866
대구광역시 달서구성당동 654-9,성당동 654-9,35.84424722,128.5523333
대구광역시 달서구성당동 671-17,성당동 671-17,35.84519444,128.5512889
대구광역시 달서구성당동 657-2,성당동 657-2,35.84370833,128.5508
대구광역시 달서구신당동 1844-1,신당동 1844-1,35.85356389,128.4969278
대구광역시 달서구신당동 1734,신당동 1734,35.85819722,128.4956833
대구광역시 달서구신당동 1737,신당동 1737,35.85914444,128.49415
대구광역시 달서구신당동 519,신당동 519,35.85821389,128.4959056
대구광역시 달서구신당동 525,신당동 525,35.857525,128.4963056
대구광역시 달서구신당동 1782,신당동 1782,35.85664444,128.4958278
대구광역시 달서구성당동 695-85,성당동 695-85,35.84826111,128.5458
대구광역시 달서구본리동 62-22,본리동 62-22,35.84344722,128.5394694
대구광역시 달서구본리동 166-1,본리동 166-1,35.83977778,128.5467778
대구광역시 달서구이곡동 734-12,이곡동 734-12,35.85101389,128.5137028
대구광역시 달서구용산동 412-4,용산동 412-4,35.85246944,128.5178806
대구광역시 달서구이곡동 1191-1,이곡동 1191-1,35.85734167,128.5022611
대구광역시 달서구용산동 913,용산동 913,35.86086389,128.5306028
